2026-09-05 12:33:18 | INFO | music-sync | Scan complete. Total songs loaded & sorted by mtime: 6150
2026-09-05 12:33:18 | INFO | music-sync | Finished scanning '/home/aruncs/Music': Found 6150 audio files.
2026-09-05 12:33:18 | INFO | music-sync | Scan complete. Total songs loaded & sorted by mtime: 6150
2026-09-05 12:33:18 | INFO | music-sync | Scan complete. Total songs loaded & sorted by mtime: 6150
2026-09-05 12:33:19 | INFO | music-sync | Duplicate scan finished: Found 459 clusters (516 duplicate files).
2026-09-05 12:33:18 | INFO | music-sync | Duplicate scan finished: Found 459 clusters (516 duplicate files).
2026-09-05 12:33:19 | INFO | music-sync | Starting song library scan across 1 configured paths...
2026-09-05 12:33:19 | INFO | music-sync | Scanning directory: '/home/aruncs/Music'...
2026-09-05 12:33:19 | INFO | music-sync | Finished scanning '/home/aruncs/Music': Found 6150 audio files.
2026-09-05 12:33:19 | INFO | music-sync | Scan complete. Total songs loaded & sorted by mtime: 6150
2026-09-05 12:33:19 | INFO | music-sync | Performing live ADB device discovery scan...
2026-09-05 12:33:19 | INFO | music-sync | ADB discovery found 0 connected ADB device(s).
2026-09-05 12:48:06 | INFO | music-sync | Starting song library scan across 1 configured paths...
2026-09-05 12:48:06 | INFO | music-sync | Scanning directory: '/home/aruncs/Music'...
2026-09-05 12:48:06 | INFO | music-sync | Starting song library scan across 1 configured paths...
2026-09-05 12:48:06 | INFO | music-sync | Starting song library scan across 1 configured paths...
2026-09-05 12:48:06 | INFO | music-sync | Scanning directory: '/home/aruncs/Music'...
2026-09-05 12:48:06 | INFO | music-sync | Scanning directory: '/home/aruncs/Music'...
2026-09-05 12:48:45 | INFO | music-sync | Finished scanning '/home/aruncs/Music': Found 6150 audio files.
2026-09-05 12:48:45 | INFO | music-sync | Scan complete. Total songs loaded & sorted by mtime: 6150
2026-09-05 12:48:45 | INFO | music-sync | Finished scanning '/home/aruncs/Music': Found 6150 audio files.
2026-09-05 12:48:45 | INFO | music-sync | Finished scanning '/home/aruncs/Music': Found 6150 audio files.
2026-09-05 12:48:45 | INFO | music-sync | Scan complete. Total songs loaded & sorted by mtime: 6150
2026-09-05 12:48:45 | INFO | music-sync | Scan complete. Total songs loaded & sorted by mtime: 6150
2026-09-05 12:48:45 | INFO | music-sync | Duplicate scan finished: Found 459 clusters (516 duplicate files).
2026-09-05 12:48:45 | INFO | music-sync | Duplicate scan finished: Found 459 clusters (516 duplicate files).
2026-09-05 12:48:45 | INFO | music-sync | Starting song library scan across 1 configured paths...
2026-09-05 12:48:45 | INFO | music-sync | Scanning directory: '/home/aruncs/Music'...
2026-09-05 12:48:45 | INFO | music-sync | Finished scanning '/home/aruncs/Music': Found 6150 audio files.
2026-09-05 12:48:45 | INFO | music-sync | Scan complete. Total songs loaded & sorted by mtime: 6150
2026-09-05 12:48:45 | INFO | music-sync | Performing live ADB device discovery scan...
2026-09-05 12:48:45 | INFO | music-sync | ADB discovery found 0 connected ADB device(s).
2026-09-05 12:49:05 | INFO | music-sync | Performing live ADB device discovery scan...
2026-09-05 12:49:05 | INFO | music-sync | ADB discovery found 1 connected ADB device(s).
2026-09-05 12:49:08 | INFO | music-sync | Queried ADB device [HA1DZEC9] (Lenovo_TB_X306X): 5732 songs.
2026-09-05 12:49:13 | INFO | music-sync | Performing live ADB device discovery scan...
2026-09-05 12:49:13 | INFO | music-sync | ADB discovery found 1 connected ADB device(s).
2026-09-05 12:49:13 | INFO | music-sync | Queried ADB device [HA1DZEC9] (Lenovo_TB_X306X): 5732 songs.
2026-09-05 12:49:16 | INFO | music-sync | Performing live ADB device discovery scan...
2026-09-05 12:49:16 | INFO | music-sync | ADB discovery found 1 connected ADB device(s).
2026-09-05 12:49:16 | INFO | music-sync | Queried ADB device [HA1DZEC9] (Lenovo_TB_X306X): 5732 songs.
2026-09-05 12:49:16 | INFO | music-sync | Starting song library scan across 1 configured paths...
2026-09-05 12:49:16 | INFO | music-sync | Scanning directory: '/home/aruncs/Music'...
2026-09-05 12:49:16 | INFO | music-sync | Finished scanning '/home/aruncs/Music': Found 6150 audio files.
2026-09-05 12:49:16 | INFO | music-sync | Scan complete. Total songs loaded & sorted by mtime: 6150
2026-09-05 12:49:16 | INFO | music-sync | Duplicate scan finished: Found 459 clusters (516 duplicate files).
2026-09-05 12:49:16 | INFO | music-sync | Starting song library scan across 1 configured paths...
2026-09-05 12:49:16 | INFO | music-sync | Scanning directory: '/home/aruncs/Music'...
2026-09-05 12:49:16 | INFO | music-sync | Finished scanning '/home/aruncs/Music': Found 6150 audio files.
2026-09-05 12:49:16 | INFO | music-sync | Scan complete. Total songs loaded & sorted by mtime: 6150
2026-09-05 12:49:16 | INFO | music-sync | Performing live ADB device discovery scan...
2026-09-05 12:49:16 | INFO | music-sync | ADB discovery found 1 connected ADB device(s).
2026-09-05 12:49:17 | INFO | music-sync | Queried ADB device [HA1DZEC9] (Lenovo_TB_X306X): 5732 songs.
2026-09-05 12:49:33 | INFO | music-sync | Starting song library scan across 1 configured paths...
2026-09-05 12:49:33 | INFO | music-sync | Scanning directory: '/home/aruncs/Music'...
2026-09-05 12:49:33 | INFO | music-sync | Finished scanning '/home/aruncs/Music': Found 6150 audio files.
2026-09-05 12:49:33 | INFO | music-sync | Scan complete. Total songs loaded & sorted by mtime: 6150
2026-09-05 12:49:33 | INFO | music-sync | Duplicate scan finished: Found 459 clusters (516 duplicate files).
2026-09-05 12:49:33 | INFO | music-sync | Starting song library scan across 1 configured paths...
2026-09-05 12:49:33 | INFO | music-sync | Scanning directory: '/home/aruncs/Music'...
2026-09-05 12:49:33 | INFO | music-sync | Finished scanning '/home/aruncs/Music': Found 6150 audio files.
2026-09-05 12:49:33 | INFO | music-sync | Scan complete. Total songs loaded & sorted by mtime: 6150
